edu_level,education_groups,top_jobs,job_percent,top_job_links,link,identifier,noc
College/CEGEP,Accounting,Accounting and related clerks,11.99,/marketreport/summary-occupation/14122/ca,/14122/ca,Accounting: College/CEGEP,NOC 1431
College/CEGEP,Accounting,Financial auditors and accountants,11.23,/marketreport/summary-occupation/131/ca,/131/ca,Accounting: College/CEGEP,NOC 1111
College/CEGEP,Accounting,Accounting technicians and bookkeepers,10.46,/marketreport/summary-occupation/24500/ca,/24500/ca,Accounting: College/CEGEP,NOC 1311
College/CEGEP,Accounting,Administrative officers,3.92,/marketreport/summary-occupation/12462/ca,/12462/ca,Accounting: College/CEGEP,NOC 1221
College/CEGEP,Accounting,Retail salespersons,3.25,/marketreport/summary-occupation/20599/ca,/20599/ca,Accounting: College/CEGEP,NOC 6421
College/CEGEP,Accounting,Administrative assistants,3.06,/marketreport/summary-occupation/24789/ca,/24789/ca,Accounting: College/CEGEP,NOC 1241
College/CEGEP,Accounting,Retail and wholesale trade managers,2.63,/marketreport/summary-occupation/17600/ca,/17600/ca,Accounting: College/CEGEP,NOC 621
College/CEGEP,Accounting,General office support workers,2.53,/marketreport/summary-occupation/12609/ca,/12609/ca,Accounting: College/CEGEP,NOC 1411
College/CEGEP,Accounting,Other customer and information services representatives,2.48,/marketreport/summary-occupation/15205/ca,/15205/ca,Accounting: College/CEGEP,NOC nan
College/CEGEP,Accounting,Customer services representatives - financial institutions,2.05,/marketreport/summary-occupation/14140/ca,/14140/ca,Accounting: College/CEGEP,NOC 6551
Bachelor's degree,Accounting,Financial auditors and accountants,46.95,/marketreport/summary-occupation/131/ca,/131/ca,Accounting: Bachelor's degree,NOC 1111
Bachelor's degree,Accounting,Financial and investment analysts,7.35,/marketreport/summary-occupation/12421/ca,/12421/ca,Accounting: Bachelor's degree,NOC 1112
Bachelor's degree,Accounting,Accounting and related clerks,7.05,/marketreport/summary-occupation/14122/ca,/14122/ca,Accounting: Bachelor's degree,NOC 1431
