noc,description,duties,titles,related_occupations
NOC 7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers supervise and co-ordinate the activities of various tradespersons, installers, repairers and servicers classified in the following minor groups: Masonry and plastering trades (728), Other construction trades (729) and Other installers, repairers and servicers (744). They are employed by a wide range of establishments; places of employment are indicated in the unit group descriptions. Contractors may be self-employed. This unit group also includes prefabricated product installation and service contractors and proprietors of some repair and service establishments.","['Supervise, co-ordinate and schedule the activities of construction workers engaged in bricklaying, roofing, cement finishing, tilesetting, plastering, drywall installation, glazing, insulating and painting, and workers who install and service prefabricated products in residential and commercial properties, as well as workers who repair a wide variety of products, such as musical instruments, sports equipment, vending machines, bicycles and cameras', 'Establish methods to meet work schedules and co-ordinate work activities with other subcontractors', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train workers in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions', 'Prepare work progress reports', 'May manage the operations of own company', 'May also supervise, co-ordinate and schedule the activities of related apprentices, helpers and labourers.', ""Small businesses' contractors may execute tasks within their trade area of expertise, which is generally not the case for supervisors or contractors associated with a medium or large business.""]","['pest control supervisor', 'supervisor, bicycle repair shop', 'supervisor, painters and decorators', 'supervisor, tilesetters', 'cement finishing contractor', 'bricklaying contractor', 'painting contractor', 'roofing contractor', 'foreman/woman, insulators', 'foreman/woman, plasterers', 'foreman/woman, glaziers']","['Contractors and supervisors, pipefitting trades', 'Contractors and supervisors, carpentry trades', 'Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations', 'Contractors and supervisors, electrical trades and telecommunications occupations']"
NOC 7304,"Supervisors of railway transport operations supervise and co-ordinate the activities of railway and yard locomotive engineers, railway yard workers and railway labourers. They are employed by railway transport companies.","['Supervise, co-ordinate and schedule the activities of workers who operate trains, drive locomotives in railway yards and perform other duties related to railway operations', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve performance', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policy', 'Recommend personnel actions such as hiring and promotions', 'Prepare work reports.']","['stationmaster', 'trainmaster', 'freight train road foreman/woman', 'railway transport operations supervisor', 'yard foreman/woman - railway', 'yardmaster - railway']","['Contractors and supervisors, mechanic trades', 'Contractors and supervisors, heavy equipment operator crews']"
NOC 7305,"Supervisors of motor transport and other ground transit operators supervise and co-ordinate activities of truck drivers, bus drivers, delivery drivers, subway and other transit operators, chauffeurs and taxi and limousine drivers. This unit group also includes bus dispatchers who co-ordinate the activities of transit system bus drivers and subway traffic controllers who operate and monitor signal and track switch control panels. They are employed by motor transportation and ground transit companies and by urban transit systems.","['Supervise, co-ordinate and schedule the activities of workers who operate trucks, buses, subway trains, light rail transit, street cars, taxis and other transport vehicles', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve performance', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policies', 'Recommend personnel actions such as hiring and promotions', 'Dispatch bus drivers and monitor routes to ensure schedules are met and to resolve operating problems', 'Monitor and operate signal and track switch control panel of subway systems', 'Prepare work reports and budgets, and monitor expenditures.']","['supervisor, subway operators', 'supervisor, school bus drivers', 'supervisor, light rail transit (LRT) operators', 'dispatcher, bus', 'bus inspector', 'foreman/woman, truck drivers', 'foreman/woman, urban transit system', 'transit mobile inspector', 'subway traffic controller']","['Supervisors, railway transport operations', 'Railway traffic controllers and marine traffic regulators', 'Dispatchers']"
NOC 7232,"Tool and die makers make, repair and modify custom-made, prototype or special tools, dies, jigs, fixtures and gauges using various metals, alloys and plastics which require precise dimensions. They are employed primarily in manufacturing industries such as automobile, aircraft, metal fabrication, electrical machinery and plastics, and in tool and die, mould making and machine shops. This unit group also includes metal patternmakers and metal mould makers.","['Tool and die makers', 'Read and interpret engineering drawings and specifications of tools, dies, prototypes or models', 'Prepare templates and sketches, and determine work processes', 'Compute dimensions and tolerances and set up machine tools', 'Position, secure, measure and work metal stock or castings to lay out for machining', 'Set up, operate and maintain a variety of conventional and computer numerically controlled (CNC) machine tools to cut, turn, mill, plane, drill, bore, grind or otherwise shape workpiece to prescribed dimensions and finish', 'Verify machined parts for conformance to specifications using precision measuring instruments such as verniers, callipers, micrometers, co-ordinate measuring machines (CMM) and electronic measuring devices', 'Fit and assemble or disassemble parts using hand tools', 'Test completed tools, dies, jigs or fixtures for proper operation', 'May program CNC machine tools.', 'Metal patternmakers', 'Machine, fit and assemble castings and other parts to make precision models of required shape such as metal patterns, core boxes and match plates', 'Lay out, shape and assemble patterns of metal, wood, plastic and other materials from blueprints, models or templates', 'May program CNC machine tools.', 'Metal mould makers', 'Machine, fit and assemble parts to make metal moulds and cores for plastic injection moulding, or other production processes', 'May program CNC machine tools.']","['jig maker', 'die finisher', 'die maker', 'metal mould maker', 'metal patternmaker', 'mould maker - plastics processing', 'mould maker apprentice', 'metal patternmaker apprentice', 'tool and die maker', 'toolmaker', 'tool and die maker apprentice']","['Foundry workers', 'Machinists and machining and tooling inspectors', 'Machining tool operators', 'Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations']"
NOC 7243,"Power system electricians install, maintain, test and repair electrical power generation, transmission and distribution system equipment and apparatus. They are employed by electric power generation, transmission and distribution companies.","['Install and maintain electrical power distribution equipment such as transformers, generators, voltage regulators, switches, circuit breakers, capacitors, inductors, and supervisory control and data acquisition (SCADA) systems', 'Install and maintain electrical equipment and apparatus in generating stations or powerhouses', 'Inspect and test installed electrical equipment and apparatus to locate electrical faults and check their operation, using volt meters, ammeters and other electrical test instruments and equipment', 'Repair or replace faulty electrical equipment and apparatus', 'Complete test and maintenance reports.']","['power system electrician', 'power electrician', 'apprentice power system electrician', 'power station electrician']","['Electrical power line and cable workers', 'Electrical mechanics', 'Industrial electricians', 'Electricians (except industrial and power system)', 'Contractors and supervisors, electrical trades and telecommunications occupations']"
NOC 7244,"Electrical power line and cable workers construct, maintain and repair overhead and underground electrical power transmission and distribution systems. They are employed by electric power generation, transmission and distribution companies, electrical contractors and public utility commissions.","['Install, maintain, troubleshoot and repair electrical distribution and transmission systems including overhead and underground power lines and cables, insulators, conductors, lightning arrestors, switches, transformers and other associated equipment', 'Erect and maintain steel, wood or concrete poles, towers and guy wires', 'Splice, solder and insulate conductors and related wiring to connect power distribution and transmission networks using splicing tools, related electrical equipment and tools', 'Inspect and test overhead and underground power lines and cables and auxiliary equipment using electrical test equipment', 'Climb ladders or operate hydraulic buckets when working aloft on poles and towers, or work in confined spaces such as trenches and tunnels to install power lines and cables and associated equipment', 'Install and maintain street lighting systems', 'Communicate with other workers to co-ordinate the preparation and completion of work assignments.']","['power lineman/woman', 'apprentice lineman/woman - electric power systems', 'cable splicer - electrical power', 'cable installer - electrical power', 'construction lineman/woman - electrical power line', 'power line patroller', 'powerline technician']","['Power system electricians', 'Telecommunications line and cable workers', 'Contractors and supervisors, electrical trades and telecommunications occupations']"
NOC 9214,"Supervisors in plastic and rubber products manufacturing supervise and co-ordinate the activities of workers who operate processing machines and who fabricate, assemble and inspect rubber or plastic products. They are employed by rubber and plastic products manufacturing companies and in plastic parts divisions of other manufacturing companies.","['Supervise, co-ordinate and schedule the activities of production workers who operate processing machines and who fabricate, assemble, finish or inspect plastic or rubber parts and products', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports', 'May set up machines and equipment.']","['foreman/woman, blow moulding', 'supervisor, injection moulding - plastic products manufacturing', 'supervisor, plastic products manufacturing', 'supervisor, rubber products manufacturing', 'supervisor, tire building', 'foreman/woman, calendering - rubber and plastic manufacturing', 'foreman/woman, extruding - rubber and plastic manufacturing']","['Plastics processing machine operators', 'Rubber processing machine operators and related workers', 'Plastic products assemblers, finishers and inspectors', 'Labourers in rubber and plastic products manufacturing']"
NOC 9217,"Supervisors in textile, fabric, fur and leather products processing and manufacturing supervise and co-ordinate the activities of workers engaged in textile, fabric, fur and leather products processing and manufacturing. They are employed by textile manufacturing companies, tanneries and other manufacturers of fabric, fur and leather products.","['Supervise, co-ordinate and schedule the activities of production workers who operate machines to process natural, synthetic and hybrid textile fibre, yarn and thread; bleach, dye and finish textiles; operate manufacturing machines to cut, stitch and produce fabric, fur or leather garments and other products; and inspect textile products', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policies', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports', 'May set up machines and equipment.']","['sample room foreman/woman, leather products', 'supervisor, knitting', 'leather products sample room foreman/woman', 'knitting supervisor', 'fabric-cutting department foreman/woman', 'finishing supervisor - textiles', 'foreman/woman - textile processing', 'fur dressing foreman/woman', 'stitching department supervisor', 'embroidery supervisor - fabric products', 'sewing machine operators supervisor', 'boot and shoe foreman/woman', 'canvas products manufacturing foreman/woman', 'tannery foreman/woman', 'dye room supervisor', 'hat and cap makers foreman/woman', 'cutting department foreman/woman, fabric']","['Chemical technologists and technicians', 'Construction millwrights and industrial mechanics', 'Industrial engineering and manufacturing technologists and technicians', 'Tailors, dressmakers, furriers and milliners']"
NOC 9221,"Supervisors in motor vehicle assembling supervise and co-ordinate the activities of workers in motor vehicle production departments. They are employed in plants which manufacture automobiles, vans and light trucks.","['Supervise, co-ordinate and schedule the activities of workers in motor vehicle manufacturing production departments such as body shop, chassis, paint, trim and hardware and final assembly', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend measures to improve productivity and product quality', 'Train staff in job duties, safety procedures and company policies', 'Requisition materials and supplies', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports.']","['area co-ordinator - motor vehicle manufacturing', 'assembly foreman/woman - motor vehicle manufacturing', 'supervisor, assembly - motor vehicle manufacturing', 'zone supervisor, assembly - motor vehicle manufacturing', 'foreman/woman - motor vehicle manufacturing', 'general supervisor, assembly - motor vehicle manufacturing']","['Motor vehicle assemblers, inspectors and testers', 'Supervisors, other mechanical and metal products manufacturing']"
NOC 9224,Supervisors in furniture and fixtures manufacturing supervise and co-ordinate the activities of workers who manufacture furniture and fixtures made of wood or other materials. They are employed in furniture and fixtures manufacturing establishments.,"['Supervise, co-ordinate and schedule the activities of workers who assemble furniture and fixtures of any materials, operate woodworking machines and finish furniture to specified colour or finish', 'Establish methods to meet work schedules and co-ordinate work activities with other departments', 'Resolve work problems and recommend work measures to improve productivity and product quality', 'Requisition materials and supplies', 'Train staff in job duties, safety procedures and company policy', 'Recommend personnel actions such as hirings and promotions', 'Prepare production and other reports.']","['supervisor, furniture and fixture manufacturing', 'supervisor, furniture finishers', 'woodworking machine operators foreman/woman - furniture and fixtures manufacturing', 'desk assembly foreman/woman', 'foreman/woman, woodworking machine operators - furniture and fixtures manufacturing', 'supervisor, woodworking machine operators', 'foreman/woman, desk assembly', 'foreman/woman, furniture assembly', 'laminating foreman/woman']","['Supervisors, other products manufacturing and assembly', 'Furniture and fixture assemblers and inspectors', 'Furniture finishers and refinishers', 'Cabinetmakers', 'Contractors and supervisors, carpentry trades', 'Woodworking machine operators']"
