noc,expertise,skills,knowledge
NOC 7205,"['Supervise workers and projects', 'Co-ordinate and schedule activities', 'Train or arrange for training', 'Manage own company', 'Set up machines and equipment', 'Recommend personnel actions', 'Ensure health and safety regulations are followed', 'Read blueprints and drawings', 'Requisition or order materials, equipment and supplies']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Planning', 'Analysis : Analyzing Information', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Business  Administration', 'Business, Finance and Management : Personnel and Human Resources', 'Engineering and Technology : Mechanics and Machinery', 'Engineering and Technology : Building and Construction', 'Law and Public Safety : Public Safety and Security']"
NOC 7304,"['Supervise workers and projects', 'Ensure health and safety regulations are followed', 'Recommend personnel actions', 'Co-ordinate and schedule activities', 'Resolve work problems and recommend measures to improve productivity', 'Requisition or order materials, equipment and supplies', 'Establish methods to meet work schedules and co-ordinate work activities with other work units', 'Train staff/workers in job duties, safety procedures and company policies']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Planning', 'Analysis : Analyzing Information', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Personnel and Human Resources', 'Communications and Transportation : Transportation', 'Law and Public Safety : Public Safety and Security']"
NOC 7305,"['Supervise workers and projects', 'Train or arrange for training', 'Dispatch bus drivers and monitor routes', 'Monitor and operate signal and track switch control panel', 'Ensure health and safety regulations are followed', 'Co-ordinate and schedule activities', 'Recommend personnel actions', 'Requisition or order materials, equipment and supplies', 'Resolve work problems and recommend measures to improve work methods', 'Co-ordinate repairs and rentals']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Client  Service', 'Business, Finance and Management : Personnel and Human Resources', 'Communications and Transportation : Transportation', 'Law and Public Safety : Public Safety and Security']"
NOC 7232,"['Compute dimensions and tolerances and set up machine tools', 'Verify machined parts for conformance to specifications using precision measuring instruments', 'Machine, fit and assemble castings and other parts to make metal moulds, cores boxes and precision models of required shape', 'Inspect and test final products', 'Set up and operate electrical discharge machines (EDM)', 'Position, secure, measure and work metal stock or castings to lay out for machining', 'Lay out, shape and assemble patterns of metal, wood, plastic and other materials from blueprints, models or templates', 'Set up, operate and maintain a variety of conventional and computer numerically controlled (CNC) machine tools']","['Working with Technological Equipment and Machinery : Installing and Setting-Up Technical Infrastructure', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Stationary Industrial Equipment', 'Building : Constructing', 'Analysis : Analyzing Information', 'Analysis : Inspecting and Testing', 'Analysis : Planning']","['Engineering and Technology : Building and Construction', 'Engineering and Technology : Computer and Information Systems', 'Engineering and Technology : Mechanics and Machinery', 'Manufacturing and Production : Processing and Production']"
NOC 7243,"['Install and maintain transformers and other power distribution equipment', 'Install and maintain equipment and apparatus in powerhouses', 'Inspect and test electrical equipment and apparatus', 'Troubleshoot and locate faults', 'Repair or replace faulty equipment and apparatus']","['Working with Technological Equipment and Machinery : Installing and Setting-Up Technical Infrastructure', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Analysis : Analyzing Information', 'Analysis : Inspecting and Testing', 'Information Handling : Processing Information']","['Engineering and Technology : Electricity (Electrical and Electronics)', 'Engineering and Technology : Mechanics and Machinery', 'Law and Public Safety : Public Safety and Security']"
NOC 7244,"['Install, maintain, troubleshoot and repair electrical distribution and transmission systems', 'Erect and maintain steel, wood or concrete poles, towers and guy wires', 'Splice, solder and insulate conductors and related wiring to connect power distribution and transmission networks', 'Inspect and test overhead and underground power lines and cables and auxiliary equipment', 'Install and maintain street lighting systems', 'Ensure health and safety regulations are followed', 'Communicate with other workers to co-ordinate the preparation and completion of work assignments', 'Work in confined spaces to install power lines and cables and associated equipment', 'Climb ladders or operate hydraulic buckets']","['Working with Technological Equipment and Machinery : Installing and Setting-Up Technical Infrastructure', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Operating and Repairing Equipment, Machinery and Vehicles : Operating Mobile Equipment', 'Building : Constructing', 'Analysis : Inspecting and Testing', 'Analysis : Planning', 'Analysis : Examining and Diagnosing', 'Analysis : Analyzing Information']","['Engineering and Technology : Mechanics and Machinery', 'Engineering and Technology : Electricity (Electrical and Electronics)', 'Law and Public Safety : Public Safety and Security']"
NOC 9214,"['Supervise, co-ordinate and schedule activities of production workers who operate processing machines and who fabricate, assemble, finish or inspect plastic or rubber parts and products', 'Establish methods to meet work schedules and co-ordinate work activities with other work units', 'Recommend measures to improve productivity and product quality', 'Set up machines and equipment']","['Service and Care : Protecting and Enforcing', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Personnel and Human Resources', 'Manufacturing and Production : Processing and Production', 'Mathematics and Science : Chemistry']"
NOC 9221,"['Establish work schedules', 'Oversee safety of operations', 'Supervise, co-ordinate and schedule (and possibly review) activities of workers', 'Train staff/workers in job duties, safety procedures and company policies', 'Requisition or order materials, equipment and supplies', 'Resolve work problems and recommend measures to improve work methods']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Personnel and Human Resources', 'Engineering and Technology : Engineering and Applied Technologies', 'Engineering and Technology : Mechanics and Machinery', 'Manufacturing and Production : Processing and Production']"
NOC 9224,"['Establish work schedules', 'Oversee safety of operations', 'Supervise, co-ordinate and schedule (and possibly review) activities of workers', 'Resolve work problems and recommend measures to improve productivity', 'Recommend measures to improve productivity and product quality', 'Set up machines and equipment']","['Service and Care : Protecting and Enforcing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Personnel and Human Resources', 'Engineering and Technology : Building and Construction', 'Engineering and Technology : Mechanics and Machinery', 'Manufacturing and Production : Processing and Production']"
NOC 9227,"['Establish work schedules', 'Oversee safety of operations', 'Set up machines and equipment', 'Supervise, co-ordinate and schedule (and possibly review) activities of workers', 'Resolve work problems and recommend measures to improve productivity', 'Recommend measures to improve productivity and product quality']","['Service and Care : Protecting and Enforcing', 'Operating and Repairing Equipment, Machinery and Vehicles : Mechanical Installing, Maintaining and Repairing', 'Management : Co-ordinating and Organizing', 'Management : Supervising', 'Analysis : Analyzing Information', 'Analysis : Planning', 'Communication : Advising and Consulting', 'Communication : Teaching and Training', 'Information Handling : Processing Information']","['Business, Finance and Management : Personnel and Human Resources', 'Engineering and Technology : Mechanics and Machinery', 'Manufacturing and Production : Processing and Production']"
