job_group,noc,description,duties,job_group_processed,description_processed,duties_processed,duties_and_desc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,highest_topic1,highest_topic2,highest_topic3
Legislators,NOC 11,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members.","['Enact, amend or repeal laws and regulations', 'Participate in developing or amending government policies, programs or procedures', 'Represent their government at local, national and international meetings and conferences', 'Respond to matters of concern to constituents or the general public', 'May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency.']",legislator,legislator participate activity federal provincial territorial local government legislative body executive council band council school board elected appointed member,enact amend repeal law regulation participate developing amending government policy program procedure represent government local national international meeting conference respond matter concern constituent general public serve minister responsible government department agency direct senior government manager official implementation government policy management department agency,legislator participate activity federal provincial territorial local government legislative body executive council band council school board elected appointed member enact amend repeal law regulation participate developing amending government policy program procedure represent government local national international meeting conference respond matter concern constituent general public serve minister responsible government department agency direct senior government manager official implementation government policy management department agency,0.0,0.32318652939934517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1729867920437138,0.2837533554887412,0.0,0.0,0.06754198689081838,0.0,0.0,0.0,0.11260436553142719,0.0,0.03992697064595436,0.0,Topic 2,Topic 15,Topic 14
Senior government managers and officials,NOC 12,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies.","['Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees', 'Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision', 'Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members', 'Co-ordinate department activities with other senior government managers and officials', 'Make presentations to legislative and other government committees regarding policies, programs or budgets', 'Allocate human and financial resources to implement organizational policies and programs', 'Establish financial and administrative controls.']",senior government manager official,senior government manager official plan organize direct control evaluate middle manager major activity municipal regional government provincial territorial federal department board agency commission establish direction taken organization accordance legislation policy made elected representative legislative body,establish objective organization accordance government legislation policy formulate approve evaluate program procedure alone conjunction senior government committee advise elected representative policy question refer major policy matter representative final decision recommend review evaluate approve document brief report submitted middle manager senior staff member co ordinate department activity senior government manager official make presentation legislative government committee regarding policy program budget allocate human financial resource implement organizational policy program establish financial administrative control,senior government manager official plan organize direct control evaluate middle manager major activity municipal regional government provincial territorial federal department board agency commission establish direction taken organization accordance legislation policy made elected representative legislative body establish objective organization accordance government legislation policy formulate approve evaluate program procedure alone conjunction senior government committee advise elected representative policy question refer major policy matter representative final decision recommend review evaluate approve document brief report submitted middle manager senior staff member co ordinate department activity senior government manager official make presentation legislative government committee regarding policy program budget allocate human financial resource implement organizational policy program establish financial administrative control,0.024054907884494523,0.7462637266338402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05003838178532484,0.07022201705625429,0.0,0.0,0.0,0.0,0.0,0.0,0.10942096664008603,0.0,0.0,0.0,Topic 2,Topic 22,Topic 15
"Senior managers - financial, communications and other business services",NOC 13,"Senior managers in financial, communications and other business services are usually appointed by a board of directors, to which they report. They work either alone or in conjunction with the board of directors to develop and establish objectives for the company, and to develop or approve policies and programs. They plan, organize, direct, control and evaluate, through middle managers, the operations of their organization in relation to established objectives. They work in establishments throughout the telecommunications, finance, insurance, real estate, and data processing, hosting and related services industries as well as other business service industries or they may own and operate their own business.","[""Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources"", 'Authorize and organize the establishment of major departments and associated senior staff positions', 'Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning', 'Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions', 'Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions.', 'Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular service area.']",senior manager financial communication business service,senior manager financial communication business service usually appointed board director report either alone conjunction board director develop establish objective develop approve policy program plan organize direct control evaluate middle manager operation organization relation established objective establishment throughout telecommunication finance insurance real estate data processing hosting service industry well business service industry operate business,determine mission strategic direction conveyed policy concrete objective met effective management human financial material resource authorize organize establishment major department associated senior staff position allocate material human financial resource implement organizational policy program establish financial administrative control formulate approve promotional campaign approve overall human resource planning select middle manager director executive staff delegate necessary authority create optimum working condition represent organization delegate representative act behalf organization negotiation official function senior manager unit group specialize area finance marketing human resource particular service area,senior manager financial communication business service usually appointed board director report either alone conjunction board director develop establish objective develop approve policy program plan organize direct control evaluate middle manager operation organization relation established objective establishment throughout telecommunication finance insurance real estate data processing hosting service industry well business service industry operate business determine mission strategic direction conveyed policy concrete objective met effective management human financial material resource authorize organize establishment major department associated senior staff position allocate material human financial resource implement organizational policy program establish financial administrative control formulate approve promotional campaign approve overall human resource planning select middle manager director executive staff delegate necessary authority create optimum working condition represent organization delegate representative act behalf organization negotiation official function senior manager unit group specialize area finance marketing human resource particular service area,0.0,0.8684718855300082,0.0,0.001152399406403389,0.0,0.032753729118405836,0.019451976763828725,0.018855670228679355,0.0,0.0,0.0,0.0,0.03366452742976671,0.0,0.0,0.0014517137890242423,0.0,0.0,0.0,0.0,0.0,0.02419809773388356,0.0,0.0,0.0,Topic 2,Topic 13,Topic 6
"Senior managers - health, education, social and community services and membership organizations",NOC 14,"Senior managers in health, education, social and community services and membership organizations plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors. They are employed in health care organizations, educational services, social and community services and membership organizations or they may own and operate their own business.","['Establish objectives for the organization or institution and formulate or approve policies and programs', 'Authorize and organize the establishment of major departments and associated senior staff positions', 'Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning', 'Select middle managers, directors or other executive staff', 'Co-ordinate the work of regions, divisions or departments', 'Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions.', 'Senior managers in this unit group may specialize in areas such as finance, marketing, human resources or in a particular service area.']",senior manager health education social community service membership organization,senior manager health education social community service membership organization plan organize direct control evaluate middle manager membership organization institution deliver health education social community service formulate policy establish direction taken organization either alone conjunction board director health care organization educational service social community service membership organization operate business,establish objective organization institution formulate approve policy program authorize organize establishment major department associated senior staff position allocate material human financial resource implement organizational policy program establish financial administrative control formulate approve promotional campaign approve overall personnel planning select middle manager director executive staff co ordinate region division department represent organization delegate representative act behalf organization negotiation official function senior manager unit group specialize area finance marketing human resource particular service area,senior manager health education social community service membership organization plan organize direct control evaluate middle manager membership organization institution deliver health education social community service formulate policy establish direction taken organization either alone conjunction board director health care organization educational service social community service membership organization operate business establish objective organization institution formulate approve policy program authorize organize establishment major department associated senior staff position allocate material human financial resource implement organizational policy program establish financial administrative control formulate approve promotional campaign approve overall personnel planning select middle manager director executive staff co ordinate region division department represent organization delegate representative act behalf organization negotiation official function senior manager unit group specialize area finance marketing human resource particular service area,0.0,0.7871838339332212,0.0,0.0,0.02685447347634726,0.0,0.0,0.0,0.0,0.0,0.0069428628568073,0.0,0.0,0.17009363379664322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008925195936980981,0.0,Topic 2,Topic 14,Topic 5
"Senior managers - trade, broadcasting and other services, n.e.c.",NOC 15,"Senior managers in trade, broadcasting and other customer services plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service industry companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors. They work in establishments in broadcasting and related media services, wholesale trade, retail trade, accommodation and food service, and other services not elsewhere classified or they may own and operate their own business.","['Establish objectives for the company and formulate or approve policies and programs', 'Authorize and organize the establishment of major departments and associated senior staff positions', 'Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning', 'Select middle managers, directors or other executive staff', 'Co-ordinate the work of regions, divisions or departments', 'Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions.', 'Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in the sale of a particular product or provision of a particular service.']",senior manager trade broadcasting service,senior manager trade broadcasting customer service plan organize direct control evaluate middle manager trade broadcasting service industry formulate policy establish direction taken either alone conjunction board director establishment broadcasting medium service wholesale trade retail trade accommodation food service service elsewhere classified operate business,establish objective formulate approve policy program authorize organize establishment major department associated senior staff position allocate material human financial resource implement organizational policy program establish financial administrative control formulate approve promotional campaign approve overall personnel planning select middle manager director executive staff co ordinate region division department represent delegate representative act behalf negotiation official function senior manager unit group specialize area finance marketing human resource sale particular product provision particular service,senior manager trade broadcasting customer service plan organize direct control evaluate middle manager trade broadcasting service industry formulate policy establish direction taken either alone conjunction board director establishment broadcasting medium service wholesale trade retail trade accommodation food service service elsewhere classified operate business establish objective formulate approve policy program authorize organize establishment major department associated senior staff position allocate material human financial resource implement organizational policy program establish financial administrative control formulate approve promotional campaign approve overall personnel planning select middle manager director executive staff co ordinate region division department represent delegate representative act behalf negotiation official function senior manager unit group specialize area finance marketing human resource sale particular product provision particular service,0.017522423674449675,0.8021170931913049,0.0006133646361616193,0.0,0.0,0.03846498436085758,0.0,0.0,0.0,0.0,0.056713567165376365,0.01297999780572139,0.004044338086385114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009885614057273668,0.05765861702246969,0.0,0.0,0.0,Topic 2,Topic 22,Topic 11
"Senior managers - construction, transportation, production and utilities",NOC 16,"Senior managers in construction, transportation, production and utilities plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors. They work in establishments throughout the following industries: fishing, forestry, logging and agriculture; mining, oil and gas extraction; construction; transportation and warehousing; printing; manufacturing; and utilities or they may own and operate their own business.","['Establish objectives for the company and formulate or approve policies and programs', 'Authorize and organize the establishment of major departments and associated senior staff positions', 'Allocate material, human and financial resources to implement company policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning', 'Select middle managers, directors or other executive staff', 'Co-ordinate the work of regions, divisions or departments', 'Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions.', 'Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular product area.']",senior manager construction transportation production utility,senior manager construction transportation production utility plan organize direct control evaluate middle manager overall operation good production utility transportation construction formulate policy establish direction taken either alone conjunction member board director establishment throughout following industry fishing forestry logging agriculture mining oil gas extraction construction transportation warehousing printing manufacturing utility operate business,establish objective formulate approve policy program authorize organize establishment major department associated senior staff position allocate material human financial resource implement policy program establish financial administrative control formulate approve promotional campaign approve overall personnel planning select middle manager director executive staff co ordinate region division department represent delegate representative act behalf negotiation official function senior manager unit group specialize area finance marketing human resource particular product area,senior manager construction transportation production utility plan organize direct control evaluate middle manager overall operation good production utility transportation construction formulate policy establish direction taken either alone conjunction member board director establishment throughout following industry fishing forestry logging agriculture mining oil gas extraction construction transportation warehousing printing manufacturing utility operate business establish objective formulate approve policy program authorize organize establishment major department associated senior staff position allocate material human financial resource implement policy program establish financial administrative control formulate approve promotional campaign approve overall personnel planning select middle manager director executive staff co ordinate region division department represent delegate representative act behalf negotiation official function senior manager unit group specialize area finance marketing human resource particular product area,0.010551992713282644,0.7397610424396325,0.0,0.0,0.0,0.0,0.0,0.0004840397801194815,0.04545904717309049,0.007687438954450985,0.0,0.020342356055301828,0.044090845825559596,0.0,0.0,0.0,0.0,0.0,0.0,0.04395665743840463,0.02590430172398947,0.0337482739351569,0.0,0.0,0.02801400396101145,Topic 2,Topic 9,Topic 13
Financial managers,NOC 111,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the private sector and in government.","['Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department', 'Develop and implement the financial policies, systems and procedures of an establishment', 'Prepare or co-ordinate the preparation of financial statements, summaries, and other cost-benefit analyses and financial management reports', 'Co-ordinate the financial planning and budget process, and analyze and correct estimates', 'Supervise the development and implementation of financial simulation models', 'Evaluate financial reporting systems, accounting procedures and investment activities and make recommendations for changes to procedures, operating systems, budgets and other financial control functions to senior managers and other department or regional managers', 'Recruit, organize, train and manage staff', 'Act as liaison between the organization and its shareholders, the investing public and external financial analysts', 'Establish profitability standards for investment activities and handle mergers and/or acquisitions', ""Notify and report to senior management concerning any trends that are critical to the organization's financial performance.""]",financial manager,financial manager plan organize direct control evaluate operation financial accounting department develop implement financial policy system establishment financial manager establish performance standard prepare various financial report senior management financial accounting department throughout private sector government,plan organize direct control evaluate operation accounting audit financial department develop implement financial policy system procedure establishment prepare co ordinate preparation financial statement summary cost benefit analysis financial management report co ordinate financial planning budget process analyze correct estimate supervise development implementation financial simulation model evaluate financial reporting system accounting procedure investment activity make recommendation change procedure operating system budget financial control function senior manager department regional manager recruit organize train manage staff act liaison organization shareholder investing public external financial analyst establish profitability standard investment activity handle merger acquisition notify report senior management concerning trend critical organization financial performance,financial manager plan organize direct control evaluate operation financial accounting department develop implement financial policy system establishment financial manager establish performance standard prepare various financial report senior management financial accounting department throughout private sector government plan organize direct control evaluate operation accounting audit financial department develop implement financial policy system procedure establishment prepare co ordinate preparation financial statement summary cost benefit analysis financial management report co ordinate financial planning budget process analyze correct estimate supervise development implementation financial simulation model evaluate financial reporting system accounting procedure investment activity make recommendation change procedure operating system budget financial control function senior manager department regional manager recruit organize train manage staff act liaison organization shareholder investing public external financial analyst establish profitability standard investment activity handle merger acquisition notify report senior management concerning trend critical organization financial performance,0.04159125578380999,0.47123298015690235,0.0,0.0,0.0,0.22406220274856342,0.06325870134585546,0.00030973255085720654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1976736184404522,0.0018715089735593083,0.0,0.0,Topic 2,Topic 6,Topic 22
Human resources managers,NOC 112,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. They are employed throughout the private and public sectors.","['Plan, organize, direct, control and evaluate the operations of human resources or personnel departments', 'Plan human resource requirements in conjunction with other departmental managers', 'Co-ordinate internal and external training and recruitment activities', 'Develop and implement labour relations policies and procedures and negotiate collective agreements', 'Administer employee development, language training and health and safety programs', 'Advise and assist other departmental managers on interpretation and administration of personnel policies and programs', 'Oversee the classification and rating of occupations', 'Organize and conduct employee information meetings on employment policy, benefits and compensation and participate actively on various joint committees', ""Direct the organization's quality management program"", 'Ensure compliance with legislation such as the Pay Equity Act.']",human resource manager,human resource manager plan organize direct control evaluate operation human resource personnel department develop implement policy program procedure regarding human resource planning recruitment collective bargaining training development classification pay benefit administration represent management participate actively various joint committee maintain ongoing relation management employee throughout private public sector,plan organize direct control evaluate operation human resource personnel department plan human resource requirement conjunction departmental manager co ordinate internal external training recruitment activity develop implement labour relation policy procedure negotiate collective agreement administer employee development language training health safety program advise assist departmental manager interpretation administration personnel policy program oversee classification rating organize conduct employee information meeting employment policy benefit compensation participate actively various joint committee direct organization quality management program ensure compliance legislation pay equity act,human resource manager plan organize direct control evaluate operation human resource personnel department develop implement policy program procedure regarding human resource planning recruitment collective bargaining training development classification pay benefit administration represent management participate actively various joint committee maintain ongoing relation management employee throughout private public sector plan organize direct control evaluate operation human resource personnel department plan human resource requirement conjunction departmental manager co ordinate internal external training recruitment activity develop implement labour relation policy procedure negotiate collective agreement administer employee development language training health safety program advise assist departmental manager interpretation administration personnel policy program oversee classification rating organize conduct employee information meeting employment policy benefit compensation participate actively various joint committee direct organization quality management program ensure compliance legislation pay equity act,0.013494411603484118,0.3479457274686788,0.0,0.0,0.0,0.0,0.0667311336415553,0.0,0.0,0.0,0.0,0.0,0.0,0.2017360462019786,0.0,0.0,0.0,0.0037922963088231447,0.0,0.0,0.0,0.36630038477547994,0.0,0.0,0.0,Topic 22,Topic 2,Topic 14
Purchasing managers,NOC 113,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution. They are employed throughout the public and private sectors.","['Plan, organize, direct, control and evaluate the purchasing activities of an establishment', 'Develop purchasing policies and procedures and control purchasing department budget', 'Identify vendors of materials, equipment or supplies', 'Evaluate cost and quality of goods or services', 'Negotiate or oversee the negotiation of purchase contracts', 'Participate in the development of specifications for equipment, products or substitute materials', 'Review and process claims against suppliers', 'Interview, hire and oversee training of staff.']",purchasing manager,purchasing manager plan organize direct control evaluate activity purchasing department develop implement purchasing policy business institution throughout public private sector,plan organize direct control evaluate purchasing activity establishment develop purchasing policy procedure control purchasing department budget identify vendor material equipment supply evaluate cost quality good service negotiate oversee negotiation purchase contract participate development specification equipment product substitute material review process claim supplier interview hire oversee training staff,purchasing manager plan organize direct control evaluate activity purchasing department develop implement purchasing policy business institution throughout public private sector plan organize direct control evaluate purchasing activity establishment develop purchasing policy procedure control purchasing department budget identify vendor material equipment supply evaluate cost quality good service negotiate oversee negotiation purchase contract participate development specification equipment product substitute material review process claim supplier interview hire oversee training staff,0.025312493917523108,0.0,0.0,0.0,0.0,0.0736782301444755,0.029714029924293558,0.061598468492536425,0.011922430612589564,0.0,0.0,0.0,0.0,0.0,0.0,0.007074535564087988,0.0,0.0,0.0,0.0,0.03875486155205548,0.7519449497924385,0.0,0.0,0.0,Topic 22,Topic 6,Topic 8
Other administrative services managers,NOC 114,"Other administrative services managers plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services. They are employed throughout the public and private sector.","['Plan, organize, direct, control and evaluate the operations of a department providing a single administrative service or several administrative services', 'Direct and advise staff engaged in providing records management, security, finance, purchasing, human resources or other administrative services', 'Direct and control corporate governance and regulatory compliance procedures within the establishment', 'Plan, administer and control budgets for contracts, equipment and supplies', 'Prepare reports and briefs for management committees evaluating administrative services', 'Interview, hire and oversee training for staff.']",administrative service manager,administrative service manager plan organize direct control evaluate department responsible corporate governance regulatory compliance record management security service admission administrative service also included unit group manager responsible department involved two following activity finance human resource purchasing administrative service throughout public private sector,plan organize direct control evaluate operation department providing single administrative service several administrative service direct advise staff engaged providing record management security finance purchasing human resource administrative service direct control corporate governance regulatory compliance procedure within establishment plan administer control budget contract equipment supply prepare report brief management committee evaluating administrative service interview hire oversee training staff,administrative service manager plan organize direct control evaluate department responsible corporate governance regulatory compliance record management security service admission administrative service also included unit group manager responsible department involved two following activity finance human resource purchasing administrative service throughout public private sector plan organize direct control evaluate operation department providing single administrative service several administrative service direct advise staff engaged providing record management security finance purchasing human resource administrative service direct control corporate governance regulatory compliance procedure within establishment plan administer control budget contract equipment supply prepare report brief management committee evaluating administrative service interview hire oversee training staff,0.0,0.167516150211314,0.0005927574724620526,0.0,0.0,0.048308452167649146,0.0,0.0,0.0,0.0,0.014223663221263293,0.0,0.02972548146682515,0.001610887698389904,0.12138954066925077,0.0,0.0,0.0,0.0037285202836940113,0.0,0.0,0.6129045468091517,0.0,0.0,0.0,Topic 22,Topic 2,Topic 15
