link,description,duties,titles,related_occupations
/18100/ca,"Land survey technologists and technicians conduct or participate in surveys to determine the exact locations and relative positions of natural features and other structures on the earth's surface, underground and underwater. They are employed by all levels of government, architectural and engineering firms, and by private sector surveying establishments.","['Land survey technologists', 'Assist survey engineers or professional surveyors to develop methods and procedures for conducting field surveys', 'Conduct field surveys and operate survey instruments and computer equipment to measure distance, angles, elevations and contours', 'Record measurements and other information obtained during field survey activities', 'Determine precise geographic locations using global positioning systems (GPS) equipment', 'Analyze latitude, longitude and angles and compute trigonometric and other calculations to plot features, contours and areas to a specific scale', 'Prepare detailed drawings, charts and plans and survey notes and reports', 'Supervise and co-ordinate field survey activities.', 'Land survey technicians', 'Participate in field surveys and operate survey instruments and devices', 'Keep records, measurements and other survey information in systematic order', 'Assist in the calculation, analysis and computation of measurements obtained during field surveys', 'Assist in the preparation of detailed drawings, charts and plans.', 'Land survey technologists and technicians may specialize in one of the following types of surveys: geodetic survey, topographic survey, legal (cadastral) survey or engineering survey.']","['geomatics technologist - land surveying', 'engineering survey technologist', 'geodetic survey technologist', 'transit operator - surveying', 'land survey technician', 'legal survey technician', 'topographic survey technician']","['Geological and mineral technologists and technicians', 'Drafting technologists and technicians', 'Technical occupations in geomatics and meteorology', 'Civil engineering technologists and technicians', 'Land surveyors']"
/26183/ca,"Other repairers and servicers repair and service a wide variety of products, such as cameras, scales, musical instruments, coin machines, vending machines, sporting goods and other miscellaneous products and equipment. They are employed by product specialty repair shops and service establishments.","['Inspect products to determine the requirement for repair', 'Repair or replace defective or worn-out parts and components using hand, power or specially designed tools', 'Test and adjust repaired products for proper functioning', 'Perform routine maintenance', 'May calibrate products using hand tools.']","['vending machine repairer', 'sporting goods repairer', 'camera repairer', 'piano repairer', 'sewing machine servicer - domestic', 'scale repairer', 'bicycle repairer', 'meter repairer']","['Contractors and supervisors, other construction trades, installers, repairers and servicers', 'Other trades and related occupations, n.e.c.']"
/6509/ca,"Glaziers cut, fit, install and replace glass in residential, commercial and industrial buildings, on exterior walls of buildings and other structures and in furniture and other products. They are employed by construction glass installation contractors, retail service and repair shops and glass fabrication shops, or they may be self-employed.","['Read and interpret blueprints and specifications to determine type and thickness of glass, frame, installation procedure and materials required', 'Measure and mark glass and cut glass using glass cutters or computerized cutter', 'Tint glass and create patterns on glass by etching, sandblasting or painting designs', 'Assemble, erect and dismantle scaffolds, rigging and hoisting equipment', 'Position glass panes into frames and secure glass using clips, points or mouldings', 'Assemble and install prefabricated glass, mirrors or glass products on walls, ceilings or exteriors of building', 'Fabricate metal frames for glass installation', 'Install, fit, fabricate and attach architectural metals or related substitute products in commercial and residential buildings', 'Install pre-cut mirrors and opaque and transparent glass panels in frames to form exterior walls of buildings', 'Replace glass in furniture and other products', 'Prepare and install skylights, showcases and aquariums and stained or other special glass in churches, museums, sports and other establishments', 'Repair and service residential windows, commercial aluminum doors and other glass supporting structures, and replace damaged glass or faulty sealant', 'May prepare cost estimates for customers or clients.']","['glazier apprentice', 'plate glass installer', 'stained glass glazier', 'structural glass glazier', 'glazier', 'glazier and metal mechanic']","['Contractors and supervisors, other construction trades, installers, repairers and servicers', 'Glass forming and finishing machine operators and glass cutters']"
/19341/ca,"Storekeepers and partspersons sort, store and issue parts and supplies for use by the establishment in which they work and for sale to the public. They are employed by manufacturing companies, warehouses, retail and wholesale establishments, mining, forestry and construction companies, repair shops, hospitals and other establishments.","['Receive and sort incoming parts and supplies', 'Store items in an orderly and accessible manner in a warehouse, tool room, supply room or other area', 'Process incoming requisitions and issue or distribute parts and supplies for internal usage', 'Maintain records of orders and the amount, kind and location of parts and supplies on hand using manual or computerized inventory system', 'Prepare requisition orders to replenish parts and supplies', 'Sell spare and replacement parts for motor vehicles, machinery and equipment in a retail setting', 'Advise retail customers or internal users on appropriateness of parts, supplies or materials requested.', 'Partspersons may specialize in a particular line of parts such as automotive parts, recreational vehicle parts, marine parts, heavy equipment parts, agricultural machinery parts, heating, ventilating and air conditioning parts or refrigeration parts.']","['automotive partsperson - retail', 'parts clerk', 'partsperson', 'parts supplier', 'ship storeman/woman', 'storekeeper', 'tool room attendant', 'ammunition storekeeper', 'material keeper', 'medical supply clerk', 'motor vehicle parts clerk']","['Supervisors, supply chain, tracking and scheduling co-ordination occupations', 'Shippers and receivers', 'Purchasing and inventory control workers']"
/3954/ca,Information systems testing technicians execute test plans to evaluate the performance of software applications and information and telecommunications systems. They are employed in information technology units throughout the private and public sectors.,"['Develop and document software testing plans', 'Install software and hardware and configure operating system software in preparation for testing', 'Execute, analyze and document results of software application tests and information and telecommunication systems tests', 'Develop and implement software and information system testing policies, procedures and scripts', 'Identify, report, track and propose solutions to product defects.']","['software testing technician', 'application tester', 'application testing technician', 'software test co-ordinator', 'software tester', 'systems tester', 'user acceptance tester', 'systems testing technician']","['Computer engineers (except software engineers and designers)', 'Software engineers and designers', 'Computer network technicians', 'User support technicians', 'Web designers and developers', 'Information systems analysts and consultants', 'Computer programmers and interactive media developers']"
/2588/ca,"Meteorologists and climatologists analyze and forecast weather, provide consultation on atmospheric phenomena and conduct research into the processes and phenomena of weather, climate and atmosphere. They are employed by all levels of government, natural resources and utility companies, the media and private consulting firms, or they may be self-employed.","['Analyze and interpret data obtained from meteorological stations, radar and satellite imagery and computer model output', 'Produce weather forecasts and provide weather consulting services for industries such as aviation, marine, agriculture and tourism, and to the general public', 'Disseminate weather forecasts and reports to the general public through a variety of media including radio, television, print and the Internet', 'Conduct research and provide consultation on the processes and determinants of atmospheric phenomena, weather and climate, atmospheric dispersion, and physical and chemical transformation of pollutants', 'Develop and test mathematical computer models of weather and climate for experimental or operational use', 'Analyze the impact of industrial projects and human activity on the climate and quality of the air and work with the social science, engineering and economic communities to develop appropriate mitigation strategies', 'Participate in studies of the effect of weather on the environment', 'Provide consultation and advice to outside agencies, professionals, or researchers regarding the use and interpretation of climatological information', 'Make scientific presentations, publish reports, articles or popular texts for specialists, users or the general public', 'May engage in the design and development of new equipment and procedures for meteorological data collection, remote sensing, or for related applications.']","['operational meteorologist', 'air quality meteorologist', 'climatologist', 'hydrometeorologist', 'weather forecaster', 'meteorologist']",['Announcers and other broadcasters']
/18220/ca,"Nursing co-ordinators and supervisors co-ordinate and supervise the activities of registered nurses, registered psychiatric nurses, licensed practical nurses and other nursing personnel in the provision of patient care. They are employed in health care institutions such as hospitals, clinics and nursing homes, and in nursing agencies.","['Supervise registered nurses, licensed practical nurses and other nursing personnel', ""Evaluate patients' needs and ensure that required nursing care is delivered"", 'Set up and co-ordinate nursing services in conjunction with other health services', 'Ensure quality nursing care is provided and appropriate administrative procedures are followed', 'Assist in the establishment of unit policies and procedures', 'Administer nursing unit budget and ensure that supplies and equipment are available', 'Assist in the selection, evaluation and professional development of nursing personnel', 'Collaborate on research projects related to nursing and medical care and multidisciplinary services', 'May provide direct patient care.']","['nursing services co-ordinator', 'patient care co-ordinator - nursing', 'nursing care co-ordinator', 'nursing supervisor', 'psychiatric nursing supervisor', 'public health nursing supervisor']",['Managers in health care']
/18254/ca,"Medical radiation technologists operate radiographic and radiation therapy equipment to administer radiation treatment and produce images of body structures for the diagnosis and treatment of injury and disease. They are employed in hospitals, cancer treatment centres, clinics, radiological laboratories, colleges and universities. Medical radiation technologists who are supervisors or instructors are included in this unit group.","['Radiological technologists', 'Operate X-ray, radiographic and fluoroscopic equipment, computerized tomography (CT) scanners, mammography units and magnetic resonance imaging (MRI) scanners to produce radiographs or anatomic images of the human body for the diagnosis by radiologists of disease or injury', 'Record and process patient data', 'Perform basic verification and quality control checks on radiographic and film processing equipment', 'Provide appropriate care and monitoring of the patient during the radiographic examination', 'Explain procedures, position patient and equipment and apply radiation protection measures', 'May train and supervise student radiographers or supervise other radiological technologists.', 'Radiological technologists may specialize in areas such as computerized tomography, angiography, mammography, magnetic resonance imaging, interventional radiology, dosimetry, stereotaxy or brachytherapy.', 'Nuclear medicine technologists', 'Prepare and administer radiopharmaceuticals, such as radionuclides and other tracer materials to patients or to biological samples', 'Operate radiation detection equipment, such as gamma cameras, scanners, scintillation counters, tomodensitometers and ionization chambers, to acquire data for use by nuclear medicine physicians in the diagnosis of disease', 'Perform diagnostic procedures using radioactive materials on biological specimens, such as blood, urine and faeces', 'Record and process results of procedures', 'Check equipment to ensure proper operation', 'Provide appropriate care and monitoring of the patient during the examination', 'Apply radiation protection measures', 'May train and supervise student nuclear medicine technologists or supervise other nuclear medicine technologists.', 'Radiation therapists', 'Operate linear accelerators, cobalt 60, X-ray and other radiation therapy equipment to administer radiation treatment prescribed by radiation oncologists', 'Check radiation therapy equipment to ensure proper operation', 'Assist radiation oncologists and clinical physicists with preparation of radiation treatment plan', 'Assist in the preparation of sealed radioactive materials such as cobalt, radium, cesium and isotopes and the construction of devices such as plaster casts and acrylic moulds to assist with administration of radiation treatment', ""Provide appropriate care and monitoring of the patient's physical and psychological well-being during the entire course of treatment"", 'Explain procedures and side effects of radiation', 'May train and supervise student radiotherapy technologists or supervise other radiotherapy technologists.']","['magnetic resonance imaging (MRI) technologist', 'X-ray (radiology) technician', 'nuclear medicine clinical instructor', 'clinical instructor, radiation therapy', 'mammography technician', 'nuclear medicine technologist', 'radiation oncology technologist', 'radiation therapist', 'radiation therapy technologist (RTT)', 'radiography technologist', 'radiological technologist', 'supervisor, nuclear medicine technologists', 'radiotherapy technician']",NaN
/5332/ca,"Editors review, evaluate and edit manuscripts, articles, news reports and other material for publication, broadcast or interactive media and co-ordinate the activities of writers, journalists and other staff. They are employed by publishing firms, magazines, journals, newspapers, radio and television networks and stations, and by companies and government departments that produce publications such as newsletters, handbooks, manuals and Web sites. Editors may also work on a freelance basis.","['Evaluate suitability of manuscripts, articles, news copy and wire service dispatches for publication, broadcast or electronic media and recommend or make changes in content, style and organization', 'Read and edit copy to be published or broadcast to detect and correct errors in spelling, grammar and syntax, and shorten or lengthen copy as space or time requires', 'Confer with authors, staff writers, reporters and others regarding revisions to copy', 'Plan and implement layout or format of copy according to space or time allocations and significance of copy', 'Plan and co-ordinate activities of staff and assure production deadlines are met', 'Plan coverage of upcoming events and assign work accordingly', 'Write or prepare introductions, marketing and promotional materials, bibliographic references, indexes and other text', 'May negotiate royalties with authors and arrange for payment of freelance staff.', 'Editors may specialize in a particular subject area, such as news, sports or features, or in a particular type of publication, such as books, magazines, newspapers or manuals.']","['medical editor', 'news editor', 'advertising editor', 'associate editor', 'literary editor', 'contributing editor', 'copy editor', 'editor', 'manuscript editor', 'sports editor', 'technical editor', 'editorial consultant', 'news service editor']","['Correspondence, publication and regulatory clerks', 'Producers, directors, choreographers and related occupations', 'Audio and video recording technicians', 'Technical occupations in geomatics and meteorology', 'Journalists', 'Managers - publishing, motion pictures, broadcasting and performing arts', 'Authors and writers', 'Translators, terminologists and interpreters']"
/17461/ca,"Banking, credit and other investment managers plan, organize, direct, control and evaluate the activities of financial establishments or operational departments within such establishments, or credit departments in industrial and commercial establishments. They oversee business development and manage overall performance in accordance with established strategic directions and policies. Banking managers are employed by banks, trust companies and credit unions. Credit managers are employed by credit departments in department stores, utility companies, car dealerships, insurance companies or other industrial or commercial organizations. Other investment managers are employed by credit card companies, consumer loan companies, mutual fund investment firms, mortgage investment companies or other financial establishments concerned with extending loans and financing and investments.","['Banking managers', 'Plan, organize, direct, control and evaluate the branch operations of a bank, trust company, credit union or similar financial institution or of a department in such an institution responsible for administering personal and commercial loans, buying and selling securities, operating investment funds, administering trusts, settling estates or other related activities', ""Ensure the institution's policies and procedures are followed according to established guidelines and make recommendations for improvement"", 'Network to develop business relations, promote the sale of loan, investment and other banking services and attract corporate and individual customers', 'Interview corporate and individual customers and respond to customer enquiries', 'Analyze, review and approve or reject loan and credit applications in accordance with authorized limits', 'Monitor processing of loan applications and credit investigations', 'Oversee preparation of monthly financial and branch progress reports', 'Recruit personnel and identify their training needs.', 'Credit managers', 'Plan, organize, direct, control and evaluate the activities of a credit department in an industrial or commercial organization', 'Administer corporate, commercial and personal loan accounts', 'Advise customers on the commercial and personal financial services corresponding to their needs', 'Evaluate and review loan and credit applications and collateral and make recommendations', 'Approve or reject credit applications, establish credit limits and determine repayment plans or schedules in accordance with authorized limits', 'Ensure collection of overdue or delinquent accounts', 'Ensure credit policies and procedures are followed according to established guidelines and applicable legislation', 'Prepare credit and loan reports', 'Recruit credit personnel and identify their training needs.']","['credit manager', 'credit union manager', 'manager, banking operations', 'manager, credit card centre', 'trust company manager', 'mortgage and consumer credit manager', 'operations manager, credit card company', 'regional collection manager', 'corporate services manager - banking, credit and investment', 'personal services manager - banking, credit and investment', 'collection centre manager', 'commercial banking manager', 'corporate banking centre manager', 'bank manager', 'assistant operations manager - banking, credit and investment']","['Senior managers - financial, communications and other business services', 'Other business services managers', 'Insurance, real estate and financial brokerage managers']"
