degree,education_groups,top_jobs,job_percent,top_job_links,link
College/CEGEP,Accounting,Accounting and related clerks,11.99,/marketreport/summary-occupation/14122/ca,/14122/ca
College/CEGEP,Accounting,Financial auditors and accountants,11.23,/marketreport/summary-occupation/131/ca,/131/ca
College/CEGEP,Accounting,Accounting technicians and bookkeepers,10.46,/marketreport/summary-occupation/24500/ca,/24500/ca
College/CEGEP,Accounting,Administrative officers,3.92,/marketreport/summary-occupation/12462/ca,/12462/ca
College/CEGEP,Accounting,Retail salespersons,3.25,/marketreport/summary-occupation/20599/ca,/20599/ca
College/CEGEP,Accounting,Administrative assistants,3.06,/marketreport/summary-occupation/24789/ca,/24789/ca
College/CEGEP,Accounting,Retail and wholesale trade managers,2.63,/marketreport/summary-occupation/17600/ca,/17600/ca
College/CEGEP,Accounting,General office support workers,2.53,/marketreport/summary-occupation/12609/ca,/12609/ca
College/CEGEP,Accounting,Other customer and information services representatives,2.48,/marketreport/summary-occupation/15205/ca,/15205/ca
College/CEGEP,Accounting,Customer services representatives - financial institutions,2.05,/marketreport/summary-occupation/14140/ca,/14140/ca
Bachelor's degree,Accounting,Financial auditors and accountants,46.95,/marketreport/summary-occupation/131/ca,/131/ca
Bachelor's degree,Accounting,Financial and investment analysts,7.35,/marketreport/summary-occupation/12421/ca,/12421/ca
Bachelor's degree,Accounting,Accounting and related clerks,7.05,/marketreport/summary-occupation/14122/ca,/14122/ca
Bachelor's degree,Accounting,Financial managers,5.44,/marketreport/summary-occupation/1225/ca,/1225/ca
Bachelor's degree,Accounting,Accounting technicians and bookkeepers,3.66,/marketreport/summary-occupation/24500/ca,/24500/ca
Bachelor's degree,Accounting,Other financial officers,2.41,/marketreport/summary-occupation/194/ca,/194/ca
Bachelor's degree,Accounting,Administrative officers,1.29,/marketreport/summary-occupation/12462/ca,/12462/ca
Bachelor's degree,Accounting,Professional occupations in business management consulting,1.19,/marketreport/summary-occupation/310/ca,/310/ca
Bachelor's degree,Accounting,Financial sales representatives,1.19,/marketreport/summary-occupation/24825/ca,/24825/ca
Bachelor's degree,Accounting,Retail salespersons,1.02,/marketreport/summary-occupation/20599/ca,/20599/ca
Master's degree,Accounting,Financial auditors and accountants,50.91,/marketreport/summary-occupation/131/ca,/131/ca
Master's degree,Accounting,Financial managers,11.82,/marketreport/summary-occupation/1225/ca,/1225/ca
Master's degree,Accounting,Accounting and related clerks,5.45,/marketreport/summary-occupation/14122/ca,/14122/ca
Master's degree,Accounting,Other financial officers,3.64,/marketreport/summary-occupation/194/ca,/194/ca
Master's degree,Accounting,Financial and investment analysts,3.41,/marketreport/summary-occupation/12421/ca,/12421/ca
Master's degree,Accounting,"Senior managers - financial, communications and other business services",1.59,/marketreport/summary-occupation/1036/ca,/1036/ca
Master's degree,Accounting,Accounting technicians and bookkeepers,1.59,/marketreport/summary-occupation/24500/ca,/24500/ca
Master's degree,Accounting,"Banking, credit and other investment managers",1.36,/marketreport/summary-occupation/17461/ca,/17461/ca
Master's degree,Accounting,"Insurance, real estate and financial brokerage managers",1.14,/marketreport/summary-occupation/14598/ca,/14598/ca
Master's degree,Accounting,University professors and lecturers,1.14,/marketreport/summary-occupation/4707/ca,/4707/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Computer network technicians,8.43,/marketreport/summary-occupation/24514/ca,/24514/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Computer programmers and interactive media developers,6.02,/marketreport/summary-occupation/22534/ca,/22534/ca
Other trades certificate or diploma,Other computer and information sciences and support services,User support technicians,6.02,/marketreport/summary-occupation/3772/ca,/3772/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Electronic service technicians (household and business equipment),6.02,/marketreport/summary-occupation/3296/ca,/3296/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Information systems analysts and consultants,4.82,/marketreport/summary-occupation/22510/ca,/22510/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Retail salespersons,4.82,/marketreport/summary-occupation/20599/ca,/20599/ca
Other trades certificate or diploma,Other computer and information sciences and support services,"Nurse aides, orderlies and patient service associates",3.61,/marketreport/summary-occupation/15798/ca,/15798/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Other customer and information services representatives,3.61,/marketreport/summary-occupation/15205/ca,/15205/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Graphic arts technicians,3.61,/marketreport/summary-occupation/21017/ca,/21017/ca
Other trades certificate or diploma,Other computer and information sciences and support services,Graphic designers and illustrators,3.61,/marketreport/summary-occupation/5747/ca,/5747/ca
